iter	Passed	Remaining
0	2	2862
1	6	3126
2	9	3050
3	11	2833
4	13	2653
5	15	2489
6	16	2360
7	18	2264
8	20	2244
9	22	2183
10	23	2130
11	25	2130
12	27	2117
13	29	2085
14	31	2053
15	33	2041
16	35	2043
17	37	2030
18	39	2020
19	40	2004
20	42	1999
21	45	2018
22	47	2005
23	49	1994
24	51	1990
25	53	1992
26	55	1985
27	56	1976
28	58	1974
29	60	1970
30	62	1960
31	64	1952
32	66	1944
33	68	1956
34	70	1949
35	72	1945
36	74	1944
37	76	1946
38	78	1939
39	80	1934
40	82	1930
41	84	1933
42	86	1927
43	88	1920
44	90	1914
45	92	1913
46	94	1911
47	96	1906
48	98	1904
49	100	1904
50	102	1902
51	104	1899
52	106	1899
53	108	1907
54	110	1907
55	113	1906
56	115	1915
57	117	1912
58	119	1911
59	121	1908
60	123	1906
61	125	1900
62	127	1897
63	129	1894
64	131	1894
65	133	1888
66	135	1883
67	137	1878
68	139	1876
69	141	1873
70	142	1869
71	144	1864
72	146	1864
73	148	1860
74	150	1855
75	152	1850
76	154	1848
77	156	1844
78	157	1841
79	159	1836
80	161	1832
81	163	1835
82	165	1832
83	167	1829
84	169	1827
85	172	1831
86	174	1830
87	176	1825
88	178	1824
89	180	1821
90	181	1816
91	183	1812
92	185	1811
93	188	1812
94	190	1811
95	191	1807
96	194	1807
97	196	1804
98	197	1800
99	199	1797
100	201	1796
101	203	1795
102	205	1792
103	207	1789
104	209	1787
105	211	1786
106	213	1783
107	216	1784
108	218	1782
109	219	1779
110	221	1776
111	223	1772
112	225	1771
113	227	1769
114	229	1766
115	231	1765
116	233	1764
117	235	1762
118	237	1759
119	239	1756
120	241	1755
121	243	1753
122	245	1750
123	247	1749
124	249	1748
125	251	1746
126	253	1744
127	255	1741
128	257	1740
129	259	1737
130	261	1734
131	263	1731
132	265	1729
133	267	1728
134	269	1724
135	270	1721
136	272	1718
137	274	1717
138	276	1714
139	278	1711
140	280	1708
141	282	1706
142	284	1704
143	286	1700
144	287	1697
145	290	1697
146	292	1695
147	294	1693
148	295	1690
149	298	1691
150	300	1689
151	302	1688
152	305	1690
153	308	1692
154	310	1691
155	312	1692
156	315	1692
157	317	1689
158	318	1686
159	321	1687
160	323	1685
161	325	1682
162	326	1679
163	329	1677
164	330	1674
165	332	1671
166	334	1668
167	336	1666
168	338	1664
169	340	1661
170	342	1658
171	344	1656
172	346	1654
173	348	1652
174	350	1650
175	352	1649
176	354	1648
177	356	1645
178	358	1642
179	360	1640
180	362	1638
181	363	1635
182	365	1632
183	367	1630
184	369	1628
185	371	1625
186	373	1622
187	375	1619
188	377	1618
189	379	1616
190	381	1614
191	383	1613
192	385	1612
193	387	1609
194	389	1606
195	391	1604
196	393	1603
197	395	1601
198	397	1598
199	399	1596
200	401	1595
201	403	1592
202	404	1590
203	407	1588
204	409	1587
205	411	1586
206	413	1585
207	416	1585
208	418	1583
209	420	1581
210	422	1578
211	425	1579
212	426	1577
213	428	1574
214	430	1572
215	433	1573
216	435	1571
217	437	1569
218	439	1568
219	441	1566
220	443	1564
221	445	1561
222	447	1560
223	450	1560
224	452	1557
225	454	1557
226	457	1557
227	459	1555
228	461	1553
229	463	1553
230	466	1551
231	468	1549
232	470	1549
233	473	1550
234	475	1548
235	478	1548
236	480	1547
237	482	1545
238	484	1543
239	487	1543
240	489	1541
241	491	1538
242	493	1536
243	495	1535
244	497	1532
245	499	1530
246	501	1528
247	503	1526
248	505	1524
249	507	1523
250	509	1521
251	512	1521
252	514	1519
253	516	1516
254	518	1515
255	520	1513
256	522	1510
257	524	1508
258	526	1506
259	528	1504
260	530	1502
261	532	1499
262	534	1497
263	536	1495
264	538	1493
265	540	1491
266	542	1490
267	544	1487
268	546	1485
269	548	1482
270	550	1480
271	552	1478
272	554	1475
273	555	1473
274	558	1471
275	560	1469
276	561	1466
277	563	1463
278	565	1461
279	567	1459
280	569	1457
281	571	1455
282	573	1453
283	576	1453
284	578	1451
285	580	1449
286	583	1449
287	585	1447
288	587	1446
289	590	1446
290	593	1445
291	595	1443
292	598	1443
293	600	1441
294	602	1440
295	605	1439
296	607	1438
297	609	1436
298	611	1433
299	613	1432
300	616	1430
301	618	1428
302	619	1425
303	622	1424
304	624	1423
305	626	1420
306	628	1418
307	630	1416
308	632	1414
309	634	1412
310	636	1410
311	638	1408
312	640	1406
313	642	1404
314	644	1402
315	646	1400
316	648	1398
317	650	1395
318	652	1393
319	654	1391
320	656	1389
321	658	1387
322	660	1385
323	663	1383
324	664	1380
325	666	1378
326	668	1376
327	670	1374
328	672	1371
329	674	1369
330	676	1367
331	678	1365
332	680	1362
333	682	1360
334	684	1358
335	686	1356
336	688	1353
337	690	1351
338	692	1350
339	694	1348
340	696	1345
341	698	1343
342	701	1342
343	703	1340
344	705	1338
345	707	1336
346	709	1335
347	711	1333
348	713	1330
349	715	1328
350	717	1326
351	719	1324
352	721	1322
353	723	1320
354	726	1319
355	728	1317
356	730	1315
357	732	1313
358	734	1311
359	736	1309
360	738	1307
361	741	1306
362	742	1303
363	744	1301
364	746	1298
365	749	1298
366	751	1295
367	752	1293
368	754	1290
369	757	1289
370	759	1287
371	761	1284
372	763	1282
373	765	1281
374	767	1279
375	769	1277
376	772	1276
377	774	1273
378	775	1271
379	777	1269
380	780	1267
381	782	1265
382	783	1262
383	785	1260
384	788	1258
385	790	1256
386	791	1254
387	794	1252
388	796	1251
389	798	1249
390	800	1247
391	803	1245
392	804	1243
393	806	1240
394	808	1238
395	811	1237
396	813	1234
397	814	1232
398	816	1230
399	818	1227
400	820	1225
401	822	1223
402	824	1221
403	826	1219
404	828	1217
405	830	1215
406	832	1212
407	834	1210
408	836	1208
409	838	1206
410	840	1203
411	841	1201
412	844	1199
413	846	1197
414	847	1195
415	849	1192
416	851	1191
417	853	1188
418	855	1186
419	857	1184
420	859	1182
421	861	1180
422	863	1177
423	865	1175
424	867	1173
425	869	1171
426	871	1169
427	873	1167
428	876	1166
429	877	1163
430	879	1161
431	881	1159
432	883	1157
433	885	1155
434	887	1152
435	889	1150
436	891	1148
437	893	1146
438	895	1144
439	898	1143
440	900	1141
441	902	1139
442	904	1137
443	906	1135
444	908	1133
445	910	1130
446	912	1128
447	914	1126
448	916	1124
449	918	1122
450	920	1119
451	922	1117
452	924	1116
453	926	1113
454	928	1111
455	931	1110
456	932	1108
457	934	1106
458	936	1103
459	939	1102
460	941	1100
461	943	1098
462	944	1095
463	947	1094
464	949	1091
465	950	1089
466	952	1087
467	954	1085
468	957	1083
469	959	1081
470	961	1079
471	963	1077
472	965	1075
473	966	1072
474	968	1070
475	971	1069
476	973	1066
477	974	1064
478	977	1062
479	979	1060
480	981	1058
481	983	1056
482	985	1054
483	987	1053
484	990	1051
485	992	1049
486	994	1047
487	996	1045
488	998	1043
489	1000	1041
490	1003	1040
491	1005	1037
492	1006	1035
493	1009	1033
494	1011	1031
495	1012	1029
496	1014	1027
497	1017	1025
498	1019	1023
499	1021	1021
500	1023	1019
501	1026	1017
502	1028	1015
503	1030	1013
504	1033	1012
505	1035	1010
506	1037	1008
507	1039	1006
508	1041	1004
509	1043	1002
510	1045	1000
511	1047	998
512	1049	996
513	1051	994
514	1053	992
515	1055	989
516	1057	987
517	1059	985
518	1061	983
519	1063	981
520	1065	979
521	1067	977
522	1069	975
523	1071	973
524	1073	971
525	1075	968
526	1077	966
527	1078	964
528	1081	962
529	1083	960
530	1085	958
531	1086	956
532	1089	954
533	1091	952
534	1093	950
535	1095	948
536	1097	946
537	1099	944
538	1101	942
539	1103	939
540	1105	938
541	1107	935
542	1109	933
543	1111	931
544	1113	929
545	1115	927
546	1117	925
547	1119	923
548	1121	921
549	1123	919
550	1125	916
551	1126	914
552	1129	912
553	1131	910
554	1132	908
555	1134	906
556	1137	904
557	1138	902
558	1140	899
559	1142	897
560	1144	895
561	1146	893
562	1148	891
563	1150	889
564	1154	888
565	1156	886
566	1158	884
567	1160	882
568	1162	880
569	1165	879
570	1167	877
571	1169	875
572	1171	873
573	1173	870
574	1176	869
575	1178	867
576	1180	865
577	1182	863
578	1184	861
579	1186	859
580	1188	857
581	1190	854
582	1192	853
583	1194	851
584	1196	848
585	1198	846
586	1200	844
587	1202	842
588	1204	840
589	1205	838
590	1208	836
591	1210	834
592	1212	832
593	1214	829
594	1216	828
595	1218	825
596	1220	823
597	1222	821
598	1224	820
599	1226	817
600	1228	815
601	1231	813
602	1232	811
603	1234	809
604	1236	807
605	1238	805
606	1240	803
607	1242	801
608	1244	798
609	1246	796
610	1248	794
611	1250	792
612	1252	790
613	1254	788
614	1256	786
615	1258	784
616	1260	782
617	1262	780
618	1264	778
619	1266	775
620	1267	773
621	1270	772
622	1272	770
623	1274	768
624	1276	765
625	1278	764
626	1280	761
627	1282	759
628	1284	757
629	1286	755
630	1288	753
631	1290	751
632	1292	749
633	1295	747
634	1297	745
635	1299	743
636	1301	741
637	1303	739
638	1305	737
639	1306	735
640	1308	733
641	1311	731
642	1312	728
643	1315	726
644	1317	724
645	1319	722
646	1321	720
647	1322	718
648	1324	716
649	1327	714
650	1329	712
651	1331	710
652	1333	708
653	1335	706
654	1337	704
655	1339	702
656	1341	700
657	1343	698
658	1345	696
659	1347	693
660	1349	691
661	1351	689
662	1353	687
663	1354	685
664	1357	683
665	1359	681
666	1361	679
667	1363	677
668	1365	675
669	1367	673
670	1369	671
671	1371	669
672	1373	667
673	1375	665
674	1377	663
675	1379	661
676	1381	658
677	1383	657
678	1385	654
679	1387	652
680	1389	651
681	1391	648
682	1393	646
683	1395	644
684	1397	642
685	1399	640
686	1401	638
687	1403	636
688	1405	634
689	1407	632
690	1409	630
691	1411	628
692	1413	626
693	1415	624
694	1417	621
695	1419	619
696	1422	618
697	1424	616
698	1426	614
699	1428	612
700	1430	610
701	1432	607
702	1433	605
703	1436	603
704	1438	601
705	1440	599
706	1441	597
707	1443	595
708	1445	593
709	1447	591
710	1449	589
711	1451	587
712	1454	585
713	1455	583
714	1457	581
715	1459	578
716	1461	576
717	1463	574
718	1465	572
