iter	RMSE
0	195.6877821
1	187.0650613
2	179.1739514
3	171.8812929
4	165.2567475
5	158.9716257
6	152.9499738
7	147.2992227
8	142.3284314
9	137.6759297
10	133.1448699
11	128.4186477
12	124.1218968
13	119.9812667
14	116.0303102
15	112.603205
16	108.8820103
17	105.9835888
18	102.5254544
19	99.67560532
20	96.77260224
21	94.31644475
22	92.04841942
23	89.76162759
24	87.67981024
25	85.67801307
26	83.83914923
27	81.98347396
28	80.35660211
29	78.73108814
30	77.31498615
31	75.90024719
32	74.50528603
33	73.37555537
34	72.31011441
35	71.17605253
36	70.24237767
37	69.3838288
38	68.62622912
39	67.87697561
40	67.15939484
41	66.52048771
42	65.83005717
43	65.24897887
44	64.62966535
45	64.10430919
46	63.59923188
47	63.04507284
48	62.63308885
49	62.29343278
50	61.93934948
51	61.48083582
52	61.00001608
53	60.71437364
54	60.2938772
55	59.97624842
56	59.6183805
57	59.3905114
58	59.11173863
59	58.87510337
60	58.49848853
61	58.27730644
62	58.01674945
63	57.86417594
64	57.68748431
65	57.5320474
66	57.35049981
67	57.16177563
68	57.00579798
69	56.8547487
70	56.73900869
71	56.57683857
72	56.37364147
73	56.23830182
74	56.09618555
75	55.96218046
76	55.88558787
77	55.79187604
78	55.64955772
79	55.48150957
80	55.35025101
81	55.27793565
82	55.1396909
83	55.03362667
84	54.94761356
85	54.85523692
86	54.73965731
87	54.67635014
88	54.60034543
89	54.51787587
90	54.46960754
91	54.39372485
92	54.31430576
93	54.24771398
94	54.12442134
95	54.06519525
96	54.0090465
97	53.95204532
98	53.880667
99	53.83183607
100	53.73762298
101	53.66302749
102	53.59069011
103	53.50880086
104	53.41283361
105	53.29745561
106	53.25069712
107	53.18306176
108	53.09628246
109	53.04029587
110	52.99805766
111	52.94666465
112	52.88899955
113	52.81550617
114	52.76506683
115	52.70587603
116	52.66471222
117	52.60644388
118	52.55060621
119	52.4944454
120	52.39681312
121	52.36589492
122	52.33568065
123	52.26405099
124	52.20668471
125	52.17603711
126	52.13094034
127	52.09335058
128	52.02993285
129	51.97682231
130	51.9281404
131	51.89265196
132	51.86031994
133	51.80213476
134	51.75201952
135	51.67411507
136	51.61897527
137	51.56435656
138	51.50780111
139	51.44364065
140	51.40628311
141	51.33961042
142	51.2880832
143	51.22856552
144	51.18478626
145	51.11909018
146	51.0831896
147	51.01759097
148	50.98157791
149	50.9527062
150	50.92838337
151	50.89596914
152	50.84606926
153	50.79927295
154	50.74935944
155	50.70935667
156	50.67376845
157	50.63489842
158	50.55956094
159	50.52825498
160	50.4841542
161	50.45877004
162	50.41193975
163	50.39008243
164	50.36184223
165	50.32449089
166	50.26930563
167	50.22906946
168	50.18993843
169	50.11345072
170	50.08578577
171	50.03753436
172	49.98553338
173	49.93536684
174	49.91058993
175	49.85472581
176	49.81686239
177	49.77344312
178	49.72883827
179	49.70235053
180	49.64999978
181	49.61055076
182	49.58182874
183	49.52448744
184	49.48263053
185	49.42851888
186	49.39515537
187	49.36913654
188	49.33786719
189	49.30584243
190	49.25970193
191	49.21455131
192	49.16404378
193	49.14054427
194	49.10279759
195	49.05529517
196	49.01596168
197	48.98411235
198	48.95131724
199	48.91431139
200	48.87044676
201	48.82582152
202	48.78383316
203	48.75204409
204	48.73403958
205	48.71025974
206	48.65916566
207	48.62742316
208	48.58595925
209	48.53021273
210	48.49579847
211	48.45327496
212	48.43211626
213	48.3987443
214	48.37477229
215	48.34462038
216	48.30684772
217	48.27911529
218	48.25388052
219	48.21822597
220	48.18672017
221	48.14401391
222	48.11866838
223	48.09514748
224	48.06283608
225	48.03404872
226	47.99952639
227	47.98552179
228	47.95858619
229	47.94489592
230	47.89873787
231	47.88522688
232	47.8588736
233	47.8329003
234	47.80570347
235	47.78725203
236	47.76637351
237	47.74368485
238	47.71266141
239	47.68242142
240	47.66131464
241	47.61621481
242	47.58352025
243	47.54388332
244	47.5226895
245	47.49528853
246	47.48301472
247	47.45860458
248	47.43501219
249	47.40761026
250	47.38620482
251	47.35946625
252	47.32608779
253	47.30124529
254	47.28459231
255	47.24986351
256	47.22575732
257	47.18072322
258	47.15898986
259	47.14061694
260	47.10565576
261	47.07650265
262	47.03769615
263	47.01970557
264	46.99317399
265	46.96011655
266	46.93486549
267	46.91540849
268	46.8835957
269	46.86301642
270	46.82741771
271	46.81065325
272	46.7904212
273	46.75447001
274	46.71869019
275	46.69550668
276	46.66572408
277	46.64203179
278	46.61753459
279	46.58252334
280	46.5482966
281	46.5248535
282	46.49169139
283	46.46835857
284	46.44535947
285	46.42326322
286	46.39284548
287	46.37962034
288	46.36127887
289	46.33299261
290	46.31688596
291	46.29718052
292	46.27646109
293	46.26294129
294	46.24199011
295	46.2190964
296	46.18590922
297	46.16598615
298	46.12759388
299	46.10862741
300	46.08489378
301	46.0695283
302	46.03925314
303	46.02289924
304	46.00563436
305	45.97410243
306	45.94870098
307	45.92563037
308	45.90683569
309	45.89033232
310	45.87190667
311	45.8450294
312	45.81818969
313	45.78882814
314	45.77539435
315	45.76015415
316	45.73606063
317	45.7121679
318	45.67717577
319	45.64293302
320	45.61696981
321	45.60378847
322	45.58149807
323	45.56173769
324	45.53901973
325	45.51072928
326	45.47758333
327	45.44104649
328	45.41815138
329	45.38889036
330	45.36088254
331	45.3425132
332	45.32138258
333	45.29750922
334	45.27704601
335	45.24726207
336	45.22922425
337	45.20016034
338	45.1835302
339	45.16615464
340	45.14557567
341	45.11482223
342	45.10385523
343	45.07740241
344	45.05995059
345	45.02421202
346	44.99177536
347	44.96915048
348	44.94695229
349	44.91393914
350	44.89944221
351	44.87588887
352	44.85991969
353	44.83952707
354	44.82338489
355	44.80499112
356	44.78453808
357	44.75905612
358	44.74618545
359	44.71702943
360	44.69202823
361	44.66036849
362	44.64004657
363	44.62327609
364	44.59142675
365	44.57731857
366	44.54579572
367	44.52664016
368	44.5076425
369	44.47785286
370	44.46394994
371	44.44772857
372	44.43564955
373	44.40315841
374	44.38975939
375	44.36854155
376	44.34288405
377	44.32453339
378	44.29573922
379	44.27079213
380	44.24540287
381	44.22558762
382	44.19904237
383	44.18297014
384	44.15545298
385	44.11973451
386	44.0922499
387	44.06374941
388	44.04091159
389	44.02237766
390	44.00735582
391	43.97631058
392	43.95274421
393	43.9346086
394	43.92208567
395	43.89655391
396	43.88388941
397	43.86645453
398	43.85419921
399	43.83437408
400	43.81411288
401	43.79962717
402	43.78854601
403	43.76959701
404	43.74553716
405	43.73032371
406	43.71477005
407	43.69971312
408	43.68514743
409	43.66877779
410	43.65891364
411	43.63069988
412	43.62055999
413	43.61174699
414	43.59670587
415	43.57133766
416	43.55493065
417	43.53825711
418	43.52895612
419	43.51364334
420	43.49493643
421	43.47495123
422	43.45475627
423	43.44275984
424	43.42001573
425	43.4030603
426	43.36831703
427	43.35056128
428	43.31972735
429	43.29473768
430	43.27369043
431	43.25941625
432	43.24567235
433	43.23141101
434	43.2155149
435	43.20356533
436	43.17187662
437	43.15438828
438	43.13740003
439	43.12380145
440	43.10991286
441	43.09704475
442	43.08432112
443	43.06917223
444	43.03711299
445	43.00412397
446	42.98784872
447	42.96914607
448	42.95004288
449	42.92781328
450	42.91867122
451	42.89570607
452	42.88130933
453	42.8688545
454	42.84295255
455	42.81580831
456	42.79949788
457	42.77636093
458	42.76826325
