iter	Passed	Remaining
0	5	3729
1	9	3446
2	14	3324
3	18	3201
4	23	3242
5	28	3242
6	32	3229
7	36	3165
8	41	3165
9	45	3151
10	49	3092
11	53	3043
12	57	3014
13	61	3007
14	65	2975
15	69	2950
16	72	2923
17	77	2927
18	81	2903
19	84	2884
20	88	2864
21	92	2853
22	96	2845
23	100	2841
24	105	2837
25	109	2845
26	114	2861
27	119	2863
28	123	2868
29	128	2860
30	132	2854
31	136	2845
32	140	2837
33	144	2828
34	148	2822
35	152	2813
36	156	2811
37	160	2803
38	164	2796
39	169	2788
40	173	2786
41	177	2783
42	181	2776
43	185	2767
44	189	2761
45	193	2752
46	197	2743
47	201	2737
48	205	2732
49	209	2727
50	214	2727
51	218	2719
52	222	2718
53	226	2715
54	231	2711
55	234	2701
56	238	2695
57	243	2690
58	247	2684
59	251	2678
60	254	2670
61	258	2661
62	262	2657
63	266	2649
64	270	2644
65	274	2638
66	278	2634
67	282	2628
68	286	2623
69	290	2617
70	294	2611
71	298	2603
72	302	2596
73	306	2591
74	310	2588
75	314	2584
76	318	2579
77	323	2581
78	328	2579
79	332	2578
80	336	2574
81	341	2571
82	345	2567
83	349	2564
84	354	2564
85	359	2564
86	363	2562
87	368	2562
88	372	2557
89	376	2553
90	380	2547
91	384	2541
92	388	2534
93	392	2527
94	395	2520
95	399	2514
96	403	2508
97	407	2501
98	410	2494
99	415	2493
100	419	2489
101	423	2484
102	427	2479
103	431	2475
104	435	2469
105	439	2464
106	443	2460
107	448	2458
108	452	2453
109	456	2447
110	460	2442
111	464	2439
112	468	2435
113	473	2432
114	477	2428
115	481	2423
116	485	2418
117	489	2413
118	493	2408
119	497	2403
120	501	2398
121	505	2393
122	509	2389
123	513	2384
124	517	2380
125	522	2379
126	526	2375
127	530	2371
128	534	2366
129	539	2364
130	543	2361
131	547	2357
132	551	2352
133	555	2347
134	559	2343
135	563	2338
136	568	2334
137	572	2330
138	576	2325
139	580	2320
140	584	2316
141	588	2311
142	592	2306
143	596	2301
144	600	2297
145	604	2293
146	608	2289
147	613	2286
148	617	2283
149	621	2279
150	626	2276
151	630	2273
152	635	2271
153	639	2268
154	644	2266
155	648	2262
156	653	2259
157	657	2256
158	662	2252
159	666	2249
160	670	2245
161	675	2243
162	679	2239
163	684	2237
164	689	2234
165	693	2231
166	698	2228
167	702	2224
168	707	2222
169	711	2218
170	715	2214
171	719	2210
172	725	2208
173	729	2204
174	734	2202
175	738	2199
176	742	2194
177	747	2190
178	751	2186
179	755	2182
180	759	2178
181	764	2174
182	768	2170
183	772	2166
184	776	2162
185	781	2158
186	785	2154
187	789	2149
188	793	2144
189	797	2139
190	801	2134
191	805	2131
192	809	2127
193	814	2123
194	818	2119
195	822	2115
196	826	2110
197	830	2105
198	834	2102
199	839	2098
200	844	2095
201	847	2090
202	852	2087
203	856	2082
204	861	2079
205	865	2075
206	869	2071
207	874	2067
208	878	2063
209	882	2058
210	886	2054
211	891	2051
212	895	2046
213	899	2042
214	903	2038
215	908	2034
216	912	2030
217	916	2025
218	920	2020
219	924	2016
220	928	2012
221	933	2009
222	937	2004
223	941	2000
224	946	1997
225	950	1993
226	954	1989
227	959	1985
228	963	1981
229	967	1977
230	971	1973
231	976	1969
232	980	1966
233	984	1961
234	989	1957
235	993	1952
236	998	1950
237	1002	1946
238	1007	1942
239	1011	1938
240	1015	1934
241	1020	1931
242	1024	1927
243	1029	1923
244	1033	1919
245	1038	1916
246	1042	1912
247	1047	1909
248	1052	1906
249	1056	1902
250	1061	1899
251	1065	1894
252	1070	1890
253	1074	1886
254	1079	1882
255	1083	1878
256	1087	1874
257	1092	1871
258	1096	1867
259	1101	1863
260	1105	1859
261	1110	1855
262	1114	1851
263	1119	1848
264	1123	1843
265	1127	1839
266	1131	1835
267	1137	1833
268	1141	1829
269	1146	1825
270	1151	1823
271	1155	1818
272	1160	1814
273	1164	1811
274	1169	1807
275	1174	1803
276	1178	1799
277	1183	1796
278	1188	1792
279	1193	1789
280	1198	1786
281	1202	1782
282	1208	1780
283	1213	1776
284	1217	1773
285	1222	1769
286	1226	1765
287	1231	1761
288	1235	1757
289	1240	1753
290	1244	1749
291	1248	1744
292	1252	1740
293	1257	1735
294	1261	1731
295	1265	1726
296	1269	1722
297	1273	1717
298	1277	1713
299	1282	1709
300	1287	1706
301	1290	1701
302	1295	1696
303	1298	1692
304	1303	1687
305	1307	1683
306	1311	1679
307	1315	1674
308	1320	1670
309	1324	1665
310	1328	1662
311	1332	1657
312	1337	1653
313	1341	1649
314	1346	1645
315	1350	1641
316	1355	1637
317	1359	1632
318	1363	1628
319	1367	1624
320	1372	1620
321	1376	1615
322	1380	1611
323	1385	1607
324	1389	1602
325	1393	1599
326	1397	1594
327	1401	1589
328	1405	1585
329	1410	1581
330	1414	1576
331	1418	1572
332	1422	1568
333	1427	1563
334	1431	1559
335	1435	1554
336	1439	1550
337	1443	1546
338	1447	1541
339	1452	1537
340	1456	1533
341	1460	1528
342	1464	1524
343	1468	1519
344	1473	1515
345	1477	1511
346	1481	1507
347	1485	1502
348	1489	1498
349	1493	1493
350	1498	1489
351	1502	1485
352	1507	1481
353	1511	1477
354	1515	1473
355	1519	1468
356	1524	1464
357	1528	1459
358	1532	1455
359	1536	1451
360	1541	1447
361	1545	1443
362	1550	1439
363	1554	1434
364	1558	1430
365	1562	1425
366	1566	1421
367	1570	1417
368	1574	1412
369	1579	1408
370	1582	1403
371	1587	1399
372	1591	1395
373	1595	1391
374	1599	1386
375	1604	1382
376	1608	1378
377	1612	1373
378	1616	1369
379	1621	1365
380	1625	1361
381	1629	1356
382	1633	1352
383	1638	1348
384	1642	1343
385	1647	1340
386	1652	1336
387	1656	1331
388	1660	1327
389	1665	1323
390	1669	1319
391	1673	1315
392	1677	1310
393	1682	1306
394	1686	1302
395	1690	1297
396	1694	1293
397	1698	1289
398	1702	1284
399	1707	1280
400	1711	1275
401	1715	1271
402	1719	1267
403	1723	1263
404	1727	1258
405	1732	1254
406	1736	1249
407	1740	1245
408	1744	1241
409	1749	1237
410	1753	1233
411	1758	1228
412	1762	1224
413	1766	1220
