iter	RMSE
0	1.330160078
1	1.247487037
2	1.174009618
3	1.109129085
4	1.053323359
5	0.9908088925
6	0.9350107658
7	0.8873750963
8	0.8381887734
9	0.7931869032
10	0.7563614336
11	0.7235785196
12	0.6894756538
13	0.6621181587
14	0.6309218356
15	0.6032798501
16	0.5823037399
17	0.557568787
18	0.5367737546
19	0.5179029325
20	0.5029926639
21	0.4869072703
22	0.4752558279
23	0.4610026627
24	0.4490659303
25	0.4382173124
26	0.4275086534
27	0.419385657
28	0.4117439199
29	0.4048679828
30	0.3967301388
31	0.3894665897
32	0.3838373774
33	0.3772761695
34	0.3708426778
35	0.3654658137
36	0.3616135283
37	0.356743515
38	0.3535330787
39	0.3494220582
40	0.3457890818
41	0.3434206197
42	0.339896765
43	0.3377497021
44	0.3354240397
45	0.3330124765
46	0.3308794457
47	0.3293816512
48	0.3280006657
49	0.3263985339
50	0.32416434
51	0.3231015043
52	0.3215829994
53	0.3202538366
54	0.3192197039
55	0.3181895005
56	0.3166336329
57	0.3150999757
58	0.3141236191
59	0.3123702208
60	0.3104598883
61	0.3094978307
62	0.3088406772
63	0.308184849
64	0.3073632472
65	0.305608247
66	0.3041730583
67	0.3035473884
68	0.3023392757
69	0.3011378282
70	0.3004760109
71	0.2996225974
72	0.2986288825
73	0.2976509281
74	0.2969782872
75	0.2962646346
76	0.2959330775
77	0.2954186967
78	0.2946774388
79	0.2941512554
80	0.2929057172
81	0.2924225479
82	0.2918632667
83	0.2914615592
84	0.2904592639
85	0.2898737123
86	0.2894824402
87	0.2890676109
88	0.2884605624
89	0.2881522615
90	0.2876778356
91	0.2870990281
92	0.2865011449
93	0.2860553061
94	0.2857823211
95	0.2852747355
96	0.2848898286
97	0.284521411
98	0.283899491
99	0.2830962258
100	0.2823533486
101	0.2818368979
102	0.2814883633
103	0.2809386697
104	0.2806450053
105	0.2801960162
106	0.2793630324
107	0.2789464911
108	0.2786490731
109	0.2785156963
110	0.2779790663
111	0.2777667823
112	0.2773409804
113	0.276999476
114	0.2766400987
115	0.2762415832
116	0.2758834526
117	0.2754377446
118	0.2750365022
119	0.27475145
120	0.2742540371
121	0.2739277995
122	0.2733849395
123	0.273130316
124	0.2728458244
125	0.272220611
126	0.2718670427
127	0.2716184438
128	0.2714313294
129	0.2710549396
130	0.2707586466
131	0.2703404279
132	0.2699857577
133	0.2696984165
134	0.2692339576
135	0.268793519
136	0.2684998329
137	0.2682693443
138	0.267859369
139	0.2676009798
140	0.2671517506
141	0.2667106201
142	0.2665472532
143	0.2661376696
144	0.2658581823
145	0.2656756668
146	0.2654914116
147	0.2651679725
148	0.2648609954
149	0.2646088682
150	0.2641918086
151	0.2639542137
152	0.2635094973
153	0.263373898
154	0.2630152812
155	0.2628492945
156	0.2625491657
157	0.2622546759
158	0.2618628445
159	0.2617102828
160	0.2613550522
161	0.260878732
162	0.2606575454
163	0.2603802131
164	0.2600805919
165	0.2596996592
166	0.2594272233
167	0.2592340795
168	0.2590181503
169	0.2588237236
170	0.2586602248
171	0.2582943119
172	0.2580916995
173	0.2578988925
174	0.2577025168
175	0.2574841157
176	0.2574021216
177	0.2571270963
178	0.2567302139
179	0.2564591692
180	0.2560891367
181	0.2555709358
182	0.2552188392
183	0.254999397
184	0.2546716406
185	0.2544895679
186	0.2542860802
187	0.2539995582
188	0.253740381
189	0.2536255989
190	0.2533144217
191	0.2530367978
192	0.2527260884
193	0.2525573092
194	0.2522306339
195	0.2519001725
196	0.2515891526
197	0.2514436251
198	0.2511325909
199	0.2508912869
200	0.2506162146
201	0.2503610371
202	0.2502151492
203	0.2499067495
204	0.2497242693
205	0.2494731972
206	0.2492892204
207	0.2491085422
208	0.24900539
209	0.2486943707
210	0.2486332257
211	0.2482054188
212	0.2480770904
213	0.2479086381
214	0.247770308
215	0.2474937045
216	0.2471790921
217	0.2470656556
218	0.2469785417
219	0.2469179284
220	0.2466471167
221	0.2464579555
222	0.2462555136
223	0.2460599496
224	0.2458284572
225	0.2457909204
226	0.2456057207
227	0.245358735
228	0.2449908842
229	0.2447036859
230	0.2445112453
231	0.2441235496
232	0.2440490943
233	0.2438372353
234	0.2436659178
235	0.2435586008
236	0.2433302061
237	0.2431012358
238	0.2429250601
239	0.2426990825
240	0.2422341442
241	0.2419939671
242	0.2417977254
243	0.2416892187
244	0.2414406403
245	0.2409281374
246	0.2404373369
247	0.2401311999
248	0.2400305762
249	0.2397072885
250	0.2395534773
251	0.2394749348
252	0.239182563
253	0.2389961815
254	0.2387420701
255	0.2385911862
256	0.2383121884
257	0.2382247425
258	0.2379950054
259	0.2378586247
260	0.2374979866
261	0.2373528174
262	0.2371046358
263	0.2367864088
264	0.2365650676
265	0.2363716866
266	0.2361735739
267	0.2359438337
268	0.2357220878
269	0.2353180051
270	0.2350383805
271	0.2347697424
272	0.2344809905
273	0.2342258448
274	0.2339305032
275	0.2338276997
276	0.2337736313
277	0.2335971829
278	0.2332819476
279	0.2330605395
280	0.2328163578
281	0.2324605059
282	0.2323338141
283	0.2320553209
284	0.2317664252
285	0.2314848935
286	0.2312772552
287	0.2310013137
288	0.2306566828
289	0.2304470756
290	0.230331916
291	0.2301128001
292	0.2299878664
293	0.2298536199
294	0.229813543
295	0.2294662123
296	0.2291780742
297	0.2291369777
298	0.2288848214
299	0.2287245779
300	0.2285078482
301	0.228446494
302	0.2282922253
303	0.2282329779
304	0.2281107257
305	0.2279549154
306	0.2276977949
307	0.2272833098
308	0.2271601116
309	0.226952577
310	0.2267249585
311	0.2266616652
312	0.226445183
313	0.2263268078
314	0.2260441549
315	0.2258489218
316	0.2256310308
317	0.2254750287
318	0.2254118006
319	0.2251320375
320	0.2247435925
321	0.2246660794
322	0.2244284115
323	0.2242795156
324	0.2240903494
325	0.2239596485
326	0.2238520224
327	0.2237626975
328	0.2236270436
329	0.2234074271
330	0.2231016851
331	0.2228818744
332	0.2227702073
333	0.2227196302
334	0.2225814108
335	0.2225101123
336	0.2224455418
337	0.2221684859
338	0.2221077798
339	0.2220633345
340	0.2219967701
341	0.2218033867
342	0.2215860138
343	0.221494798
344	0.221463491
345	0.2212931018
346	0.2211854974
347	0.2209849112
348	0.2209195452
349	0.2208333133
350	0.2204833694
351	0.220259015
352	0.2200542243
353	0.2198599716
354	0.2197849936
355	0.2197094841
356	0.2195978378
357	0.2194687601
358	0.2192609396
359	0.2191254201
360	0.2189998882
361	0.2187594487
362	0.2186368463
363	0.2185680771
364	0.2184266825
365	0.2181522216
366	0.2179671848
367	0.2179103322
368	0.217784515
369	0.2175523657
370	0.2174445943
371	0.2173790477
372	0.2172044249
373	0.2170339732
374	0.2169157183
375	0.2167201438
376	0.2166224409
377	0.2164863493
378	0.2163634219
379	0.2161666319
380	0.2159686542
381	0.2157676549
382	0.2156359224
383	0.2155415733
384	0.215464449
385	0.2152638532
386	0.2151197268
387	0.2151029983
388	0.2150946318
389	0.2150057372
390	0.2148522043
391	0.2147029185
392	0.2146177147
393	0.214449425
394	0.2143327983
395	0.2141300598
396	0.2139545255
397	0.2138486749
398	0.2137644537
399	0.2136088618
400	0.2134135231
401	0.2133657754
402	0.2132984178
403	0.2131571453
404	0.2130502669
405	0.2128699944
406	0.2127840619
407	0.2126661637
408	0.2125436107
409	0.2123572023
410	0.2122436319
411	0.2121708402
412	0.212101098
413	0.2120703312
414	0.2118745356
415	0.2117060396
416	0.2115493454
417	0.2114792841
418	0.2113173323
419	0.2112601377
420	0.2111528317
421	0.2110454051
422	0.2108674384
423	0.2107272479
424	0.2106331987
425	0.2104821619
426	0.210413551
427	0.2103440482
428	0.2102460354
429	0.2101768141
430	0.210008108
431	0.2098794336
432	0.2098604408
433	0.2096984265
434	0.2096343683
435	0.2095535751
436	0.2093757094
437	0.2092619954
438	0.2091327869
439	0.2089563136
440	0.2088346567
441	0.2086586494
442	0.2086468395
443	0.2084889249
444	0.2083775588
445	0.208207264
446	0.208108768
447	0.2080155599
448	0.2079869607
449	0.207945511
450	0.2077303648
451	0.20768319
452	0.2075214769
453	0.2073794369
454	0.207293159
455	0.2071911506
456	0.2070668138
457	0.2069981786
458	0.2067758167
459	0.2066426929
460	0.2064781656
461	0.2064698294
462	0.2063722504
463	0.2062447044
464	0.2061669388
465	0.206154342
466	0.2059862649
467	0.2058903193
468	0.2057499324
469	0.2056430452
470	0.2054947461
471	0.2053453357
472	0.2051359423
473	0.2050483584
474	0.2049499207
475	0.204860836
476	0.2047628972
477	0.2046483043
478	0.2045781576
479	0.2045020719
480	0.2043417663
481	0.2042008632
482	0.2039802842
483	0.2038467515
484	0.2037255653
485	0.2035111161
486	0.2034473398
487	0.2033952993
488	0.203383963
489	0.2032034568
490	0.2031393746
491	0.2030230578
492	0.2029637123
493	0.20289779
494	0.2026925355
495	0.2025631942
496	0.2024451731
497	0.202321857
498	0.2021643182
499	0.2020513408
500	0.2020294973
501	0.2019677274
502	0.2018925954
503	0.2018721508
504	0.2017255715
