iter	Passed	Remaining
0	169	169807
1	192	95924
2	212	70471
3	230	57310
4	252	50172
5	274	45410
6	293	41650
7	313	38911
8	334	36883
9	368	36500
10	407	36670
11	440	36236
12	455	34546
13	469	33097
14	483	31756
15	496	30527
16	511	29573
17	526	28703
18	540	27921
19	556	27254
20	569	26534
21	583	25943
22	597	25396
23	612	24924
24	627	24476
25	643	24090
26	657	23702
27	673	23376
28	689	23084
29	704	22791
30	722	22568
31	737	22322
32	752	22061
33	769	21866
34	783	21612
35	798	21394
36	814	21208
37	829	20987
38	845	20837
39	860	20662
40	875	20486
41	889	20289
42	902	20077
43	918	19961
44	932	19787
45	949	19684
46	964	19554
47	979	19427
48	994	19304
49	1010	19191
50	1025	19087
51	1042	19005
52	1057	18893
53	1073	18807
54	1089	18713
55	1104	18617
56	1119	18513
57	1133	18416
58	1150	18344
59	1165	18258
60	1179	18160
61	1195	18087
62	1211	18014
63	1228	17961
64	1242	17876
65	1259	17816
66	1275	17756
67	1290	17691
68	1308	17650
69	1324	17596
70	1350	17669
71	1374	17718
72	1399	17773
73	1429	17890
74	1458	17987
75	1479	17990
76	1494	17910
77	1515	17912
78	1540	17964
79	1562	17973
80	1586	18002
81	1611	18036
82	1630	18015
83	1655	18052
84	1680	18087
85	1704	18112
86	1724	18094
87	1746	18102
88	1766	18086
89	1792	18123
90	1822	18204
91	1858	18338
92	1896	18491
93	1933	18633
94	1968	18750
95	1992	18759
96	2013	18748
97	2036	18745
98	2057	18722
99	2079	18713
100	2105	18739
101	2136	18809
102	2172	18920
103	2194	18908
104	2219	18918
105	2238	18879
106	2258	18849
107	2281	18843
108	2307	18859
109	2336	18902
110	2372	19003
111	2412	19131
112	2446	19207
113	2474	19228
114	2505	19284
115	2531	19288
116	2557	19303
117	2583	19313
118	2613	19345
119	2644	19395
120	2674	19430
121	2705	19474
122	2739	19532
123	2770	19569
124	2796	19573
125	2822	19578
126	2847	19571
127	2872	19568
128	2895	19552
129	2922	19558
130	2943	19527
131	2965	19500
132	2986	19470
133	3013	19476
134	3041	19488
135	3070	19506
136	3099	19523
137	3125	19524
138	3154	19541
139	3176	19510
140	3202	19510
141	3230	19518
142	3257	19519
143	3280	19498
144	3305	19490
145	3334	19501
146	3357	19479
147	3377	19445
148	3400	19420
149	3434	19459
150	3465	19484
151	3488	19462
152	3512	19443
153	3534	19415
154	3555	19382
155	3580	19372
156	3603	19349
157	3637	19386
158	3662	19370
159	3686	19352
160	3707	19322
161	3733	19313
162	3757	19295
163	3782	19281
164	3807	19267
165	3836	19277
166	3860	19254
167	3884	19239
168	3906	19209
169	3929	19183
170	3955	19176
171	3983	19174
172	4014	19191
173	4040	19181
174	4073	19205
175	4106	19224
176	4130	19204
177	4154	19184
178	4183	19186
179	4212	19189
180	4237	19175
181	4264	19166
182	4286	19139
183	4309	19109
184	4334	19095
185	4352	19047
186	4378	19035
187	4402	19013
188	4425	18990
189	4451	18977
190	4482	18987
191	4519	19021
192	4550	19029
193	4583	19044
194	4612	19039
195	4640	19033
196	4665	19018
197	4689	18993
198	4706	18944
199	4728	18913
200	4759	18918
201	4780	18884
202	4801	18849
203	4825	18827
204	4852	18817
205	4877	18798
206	4897	18763
207	4921	18739
208	4947	18723
209	4967	18687
210	4988	18652
211	5012	18629
212	5034	18600
213	5058	18578
214	5088	18578
215	5115	18565
216	5139	18545
217	5165	18529
218	5193	18522
219	5216	18496
220	5243	18483
221	5272	18476
222	5298	18461
223	5325	18447
224	5362	18472
225	5393	18472
226	5425	18474
227	5460	18489
228	5501	18523
229	5542	18556
230	5591	18613
231	5624	18620
232	5655	18616
233	5682	18601
234	5706	18576
235	5727	18541
236	5751	18517
237	5780	18507
238	5801	18473
239	5822	18438
240	5845	18408
241	5868	18382
242	5895	18365
243	5919	18339
244	5942	18312
245	5965	18283
246	5996	18279
247	6019	18254
248	6042	18223
249	6061	18185
250	6089	18172
251	6111	18139
252	6135	18116
253	6155	18078
254	6178	18050
255	6199	18017
256	6220	17982
257	6243	17956
258	6267	17931
259	6295	17917
260	6318	17889
261	6344	17870
262	6369	17850
263	6397	17836
264	6423	17815
265	6441	17775
266	6465	17750
267	6488	17722
268	6511	17694
269	6535	17668
270	6566	17664
271	6608	17686
272	6638	17677
273	6659	17644
274	6684	17623
275	6704	17586
276	6732	17573
277	6758	17553
278	6787	17540
279	6813	17520
280	6843	17509
281	6866	17483
282	6886	17448
283	6920	17446
284	6951	17438
285	6984	17435
286	7008	17412
287	7037	17397
288	7058	17365
289	7082	17340
290	7103	17306
291	7125	17277
292	7148	17249
293	7169	17216
294	7191	17187
295	7212	17153
296	7236	17128
297	7264	17112
298	7293	17100
299	7320	17082
300	7343	17054
301	7368	17030
302	7392	17005
303	7421	16990
304	7444	16962
305	7467	16936
306	7487	16902
307	7511	16875
308	7532	16843
309	7558	16823
310	7581	16795
311	7602	16765
312	7621	16728
313	7644	16700
314	7670	16679
315	7691	16648
316	7711	16614
317	7736	16592
318	7763	16573
319	7784	16542
320	7806	16513
321	7827	16481
322	7849	16451
323	7874	16428
324	7896	16400
325	7917	16370
326	7938	16337
327	7961	16311
328	7985	16287
329	8008	16260
330	8032	16234
331	8051	16200
332	8078	16181
333	8098	16148
334	8121	16121
335	8146	16098
336	8167	16067
337	8186	16033
338	8205	15999
339	8226	15968
340	8247	15938
341	8273	15917
342	8297	15892
343	8318	15863
344	8342	15838
345	8362	15806
346	8385	15780
347	8406	15749
348	8427	15720
349	8449	15692
350	8471	15663
351	8492	15633
352	8517	15610
353	8539	15584
354	8562	15556
355	8585	15530
356	8607	15503
357	8627	15471
358	8647	15441
359	8669	15413
360	8690	15382
361	8713	15356
362	8734	15327
363	8754	15296
364	8776	15269
365	8799	15243
366	8819	15212
367	8843	15187
368	8864	15159
369	8887	15132
370	8916	15116
371	8938	15090
372	8960	15061
373	8983	15036
374	9002	15004
375	9057	15030
376	9100	15038
377	9123	15012
378	9173	15030
379	9194	15001
380	9216	14973
381	9240	14949
382	9262	14921
383	9284	14894
384	9305	14864
385	9324	14831
386	9342	14798
387	9365	14773
388	9388	14746
389	9409	14717
390	9431	14690
391	9457	14668
392	9476	14636
393	9496	14606
394	9521	14583
395	9543	14556
396	9568	14533
397	9586	14500
398	9610	14475
399	9629	14443
400	9649	14413
401	9674	14390
402	9698	14366
403	9718	14337
404	9739	14308
405	9760	14279
406	9786	14258
407	9809	14233
408	9830	14205
409	9854	14180
410	9875	14151
411	9898	14127
412	9923	14104
413	9944	14075
414	9964	14046
415	9988	14021
416	10008	13993
417	10028	13962
418	10045	13929
419	10065	13900
420	10089	13875
421	10109	13846
422	10131	13819
423	10150	13789
424	10171	13761
425	10197	13740
426	10217	13710
427	10239	13684
428	10260	13656
429	10283	13631
430	10306	13606
431	10326	13577
432	10350	13553
433	10370	13525
434	10392	13498
435	10416	13475
436	10438	13447
437	10458	13418
438	10478	13390
439	10502	13366
440	10525	13341
441	10548	13316
442	10570	13291
443	10593	13265
444	10611	13234
445	10631	13206
446	10652	13178
447	10671	13149
448	10692	13121
449	10716	13098
450	10739	13072
451	10760	13045
452	10783	13021
453	10802	12991
454	10824	12965
455	10846	12939
456	10869	12915
457	10895	12893
458	10917	12867
459	10939	12842
460	10961	12816
461	10981	12787
462	10999	12757
463	11024	12735
464	11045	12708
465	11069	12684
466	11091	12658
467	11111	12630
468	11132	12604
469	11156	12580
470	11179	12556
471	11202	12532
472	11222	12504
473	11248	12483
474	11270	12456
475	11294	12433
476	11315	12406
477	11338	12381
478	11361	12357
479	11382	12331
480	11404	12305
481	11425	12278
482	11448	12254
483	11470	12228
484	11491	12202
485	11516	12180
486	11542	12158
487	11561	12130
488	11582	12103
489	11603	12076
490	11622	12049
491	11641	12020
492	11663	11994
493	11690	11974
494	11710	11947
495	11732	11921
496	11754	11896
497	11776	11871
498	11799	11846
499	11822	11822
500	11844	11797
501	11868	11773
502	11890	11748
503	11909	11720
504	11932	11695
505	11955	11671
506	11978	11647
507	12000	11622
508	12026	11601
509	12047	11574
510	12072	11553
511	12095	11528
512	12116	11502
513	12135	11474
514	12154	11446
515	12174	11419
516	12194	11392
517	12219	11370
518	12239	11343
519	12262	11318
520	12286	11296
521	12308	11270
522	12326	11242
523	12356	11224
524	12388	11208
525	12416	11189
526	12438	11163
527	12457	11136
528	12479	11110
529	12498	11083
530	12520	11058
531	12538	11029
532	12557	11002
533	12578	10977
534	12600	10951
535	12620	10925
536	12642	10900
537	12663	10874
538	12686	10850
539	12709	10826
540	12730	10800
541	12747	10771
542	12766	10744
543	12789	10720
544	12809	10694
545	12829	10667
546	12849	10641
547	12872	10617
548	12897	10594
549	12914	10566
550	12934	10539
551	12956	10515
552	12976	10489
553	13000	10466
554	13021	10440
555	13039	10413
556	13063	10389
557	13087	10367
558	13112	10344
559	13132	10318
560	13150	10290
561	13169	10264
562	13189	10237
563	13212	10213
564	13231	10187
565	13250	10160
566	13270	10134
567	13288	10106
568	13310	10082
569	13332	10058
570	13351	10031
571	13369	10003
572	13388	9976
573	13408	9951
574	13431	9927
575	13453	9903
576	13473	9877
577	13492	9851
578	13513	9825
579	13534	9800
580	13554	9775
581	13575	9750
582	13596	9725
583	13615	9699
584	13638	9675
585	13661	9651
586	13684	9628
587	13708	9605
588	13729	9580
589	13749	9554
590	13770	9529
591	13794	9507
592	13814	9481
593	13839	9459
594	13859	9433
595	13877	9407
596	13900	9383
597	13916	9355
598	13938	9330
599	13960	9307
600	13982	9283
601	13999	9255
602	14020	9230
603	14041	9206
604	14066	9183
605	14086	9158
606	14107	9133
607	14132	9111
608	14154	9087
609	14173	9061
610	14194	9037
611	14214	9012
612	14234	8986
613	14260	8964
614	14280	8939
615	14300	8914
616	14322	8890
617	14345	8867
618	14372	8846
619	14391	8820
620	14413	8796
621	14434	8772
622	14454	8746
623	14477	8723
624	14497	8698
625	14516	8672
626	14537	8648
627	14561	8625
628	14583	8601
629	14601	8575
630	14623	8551
631	14646	8528
632	14670	8505
633	14694	8482
634	14717	8459
635	14741	8436
636	14761	8412
637	14785	8389
638	14806	8364
639	14824	8338
640	14853	8318
641	14899	8308
642	14937	8293
643	14972	8276
644	15014	8263
645	15047	8245
646	15072	8223
647	15089	8196
648	15112	8173
649	15132	8148
650	15153	8123
651	15171	8097
652	15191	8072
653	15212	8048
654	15234	8024
655	15255	7999
656	15276	7975
657	15296	7950
658	15319	7927
659	15342	7903
660	15369	7882
661	15406	7866
662	15441	7848
663	15465	7825
664	15493	7804
665	15516	7781
666	15540	7758
667	15558	7732
668	15587	7712
669	15608	7687
670	15635	7666
671	15656	7641
672	15677	7617
673	15700	7594
674	15721	7569
675	15745	7546
676	15768	7523
677	15806	7506
678	15840	7488
679	15886	7475
680	15911	7453
681	15948	7436
682	15973	7413
683	16000	7392
684	16023	7368
685	16043	7343
686	16067	7320
687	16091	7297
688	16111	7272
689	16134	7248
690	16158	7225
691	16187	7204
692	16210	7181
693	16232	7157
694	16262	7136
695	16304	7121
696	16331	7099
697	16355	7076
698	16379	7053
699	16401	7029
700	16420	7003
701	16443	6980
702	16468	6957
703	16501	6938
704	16533	6918
705	16552	6893
706	16577	6870
707	16610	6850
708	16648	6833
709	16680	6813
710	16705	6790
711	16729	6766
712	16750	6742
713	16767	6716
714	16785	6690
715	16807	6666
716	16841	6647
717	16872	6626
718	16908	6608
719	16942	6588
720	16964	6564
721	16989	6541
722	17019	6520
723	17038	6495
724	17059	6470
725	17079	6446
726	17104	6423
727	17125	6398
728	17145	6373
729	17168	6349
730	17192	6326
731	17228	6307
732	17302	6302
733	17340	6284
734	17384	6267
735	17404	6243
736	17427	6219
737	17449	6194
738	17476	6172
739	17494	6146
740	17514	6121
741	17537	6097
742	17555	6072
743	17580	6049
744	17599	6023
745	17618	5998
746	17641	5975
747	17665	5951
748	17688	5927
749	17714	5904
750	17744	5883
751	17773	5861
752	17810	5842
753	17848	5823
754	17894	5806
755	17925	5785
756	17957	5764
757	17990	5743
758	18023	5723
759	18071	5706
760	18109	5687
761	18146	5667
762	18182	5647
763	18219	5627
764	18257	5608
765	18289	5587
766	18324	5566
767	18351	5543
768	18385	5522
769	18414	5500
770	18445	5478
771	18475	5456
772	18504	5433
773	18539	5413
774	18573	5392
775	18602	5369
776	18628	5346
777	18651	5322
778	18675	5298
779	18697	5273
780	18721	5249
781	18745	5225
782	18779	5204
783	18799	5179
784	18822	5155
785	18846	5131
786	18864	5105
787	18891	5082
788	18922	5060
789	18952	5038
790	18972	5012
791	18993	4988
792	19015	4963
793	19037	4939
794	19062	4915
795	19084	4890
796	19103	4865
797	19123	4840
798	19148	4817
799	19184	4796
800	19220	4775
801	19254	4753
802	19291	4732
803	19324	4711
804	19359	4689
805	19390	4667
806	19413	4642
807	19433	4617
808	19452	4592
809	19474	4568
810	19498	4544
811	19519	4519
812	19552	4497
813	19580	4474
814	19616	4452
815	19645	4429
816	19686	4409
817	19705	4384
818	19728	4359
819	19747	4334
820	19771	4310
821	19794	4286
822	19814	4261
823	19832	4236
824	19856	4211
825	19873	4186
826	19895	4162
827	19923	4138
828	19953	4115
829	19992	4094
830	20033	4074
831	20065	4051
832	20094	4028
833	20119	4004
834	20138	3979
835	20158	3954
836	20177	3929
837	20197	3904
838	20217	3879
839	20240	3855
840	20261	3830
841	20280	3805
842	20311	3782
843	20348	3761
844	20378	3738
845	20467	3725
846	20495	3702
847	20530	3680
848	20570	3658
849	20623	3639
850	20664	3618
851	20701	3596
852	20739	3574
853	20769	3550
854	20801	3527
855	20829	3504
856	20864	3481
857	20886	3456
858	20913	3432
859	20929	3407
860	20947	3381
861	20972	3357
862	20993	3332
863	21015	3308
864	21039	3283
865	21061	3258
866	21088	3235
867	21114	3210
868	21155	3189
869	21197	3167
870	21239	3145
871	21276	3123
872	21311	3100
873	21350	3077
874	21386	3055
875	21428	3033
876	21456	3009
877	21493	2986
878	21523	2962
879	21565	2940
880	21596	2917
881	21638	2894
882	21675	2872
883	21710	2848
884	21744	2825
885	21790	2803
886	21821	2779
887	21845	2755
888	21868	2730
889	21893	2705
890	21912	2680
891	21937	2656
892	21959	2631
893	21978	2605
894	21997	2580
895	22022	2556
896	22040	2530
897	22061	2505
898	22083	2481
899	22110	2456
900	22135	2432
901	22163	2407
902	22190	2383
903	22214	2359
904	22240	2334
905	22280	2311
906	22309	2287
907	22327	2262
908	22356	2238
909	22374	2212
910	22394	2187
911	22417	2163
912	22438	2138
913	22473	2114
914	22511	2091
915	22539	2066
916	22565	2042
917	22587	2017
918	22617	1993
919	22639	1968
920	22662	1943
921	22683	1918
922	22708	1894
923	22730	1869
924	22753	1844
925	22778	1820
926	22804	1795
927	22824	1770
928	22847	1746
929	22868	1721
930	22898	1697
931	23002	1678
932	23052	1655
933	23086	1631
934	23126	1607
935	23165	1583
936	23194	1559
937	23229	1535
938	23259	1510
939	23289	1486
940	23318	1462
941	23346	1437
942	23369	1412
943	23389	1387
944	23407	1362
945	23426	1337
946	23451	1312
947	23473	1287
948	23498	1262
949	23527	1238
950	23563	1214
951	23595	1189
952	23618	1164
953	23639	1139
954	23659	1114
955	23682	1090
956	23702	1064
957	23723	1040
958	23745	1015
959	23766	990
960	23789	965
961	23813	940
962	23833	915
963	23854	890
964	23876	866
965	23895	841
966	23932	816
967	23965	792
968	24000	767
969	24025	743
970	24051	718
971	24089	693
972	24116	669
973	24140	644
974	24159	619
975	24181	594
976	24201	569
977	24222	544
978	24245	520
979	24267	495
980	24313	470
981	24340	446
982	24358	421
983	24387	396
984	24405	371
985	24423	346
986	24437	321
987	24454	297
988	24467	272
989	24479	247
990	24489	222
991	24499	197
992	24510	172
993	24519	148
994	24532	123
995	24542	98
996	24551	73
997	24560	49
998	24569	24
999	24577	0
	24852	0
99	24816	0
715	0
