iter	Passed	Remaining
0	66	19846
1	132	19781
2	199	19797
3	267	19773
4	333	19647
5	400	19636
6	468	19622
7	545	19923
8	624	20179
9	692	20078
10	758	19927
11	829	19910
12	892	19699
13	958	19576
14	1022	19425
15	1085	19268
16	1148	19125
17	1211	18984
18	1276	18875
19	1341	18775
20	1400	18612
21	1466	18531
22	1523	18351
23	1588	18264
24	1649	18139
25	1708	18008
26	1773	17929
27	1836	17837
28	1901	17765
29	1965	17690
30	2027	17589
31	2085	17468
32	2151	17409
33	2219	17367
34	2291	17352
35	2359	17302
36	2495	17736
37	2592	17871
38	2664	17828
39	2735	17779
40	2806	17729
41	2870	17633
42	2944	17601
43	3014	17541
44	3082	17468
45	3153	17413
46	3219	17331
47	3286	17254
48	3372	17274
49	3496	17482
50	3578	17473
51	3647	17394
52	3711	17298
53	3773	17191
54	3834	17080
55	3899	16991
56	3964	16902
57	3983	16622
58	4050	16545
59	4115	16461
60	4179	16374
61	4238	16269
62	4305	16197
63	4362	16087
64	4419	15979
65	4478	15876
66	4544	15804
67	4610	15730
68	4669	15634
69	4725	15525
70	4783	15428
71	4838	15320
72	4893	15215
73	4948	15111
74	5007	15021
75	5068	14938
76	5121	14833
77	5177	14734
78	5235	14646
79	5292	14554
80	5348	14461
81	5405	14371
82	5459	14272
83	5513	14177
84	5569	14086
85	5626	14001
86	5688	13926
87	5748	13847
88	5803	13758
89	5858	13669
90	5915	13585
91	5972	13503
92	6029	13419
93	6086	13337
94	6140	13250
95	6196	13167
96	6250	13080
97	6510	13419
98	7125	14466
99	7930	15861
100	8809	17356
101	10224	19847
102	10465	20017
103	10546	19876
104	10605	19696
105	10669	19527
106	10731	19355
107	10789	19180
108	10846	19007
109	10913	18850
110	10986	18706
111	11058	18562
112	11121	18403
113	11180	18242
114	11236	18076
115	11293	17914
116	11350	17753
117	11406	17593
118	11461	17432
119	11520	17281
120	11579	17129
121	11643	16987
122	11700	16837
123	11758	16690
124	11813	16539
125	11867	16388
126	11922	16241
127	11982	16101
128	12041	15961
129	12098	15820
130	12154	15680
131	12209	15539
132	12261	15396
133	12320	15262
134	12375	15125
135	12431	14990
136	12486	14855
137	12544	14726
138	12601	14595
139	12655	14463
140	12711	14334
141	12766	14205
142	12820	14075
143	12874	13947
144	12928	13820
145	12984	13696
146	13040	13572
147	13120	13475
148	13207	13385
149	13265	13265
150	13320	13144
151	13376	13024
152	13430	12903
153	13487	12786
154	13542	12668
155	13596	12550
156	13648	12431
157	13704	12316
158	13761	12203
159	13818	12091
160	13876	11980
161	13937	11872
162	13997	11764
163	14055	11655
164	14112	11546
165	14171	11439
166	14233	11335
167	14287	11225
168	14351	11124
169	14423	11029
170	14491	10932
171	14554	10831
172	14610	10725
173	14665	10619
174	14723	10516
175	14777	10411
176	14830	10306
177	14887	10203
178	14945	10103
179	15000	10000
180	15057	9899
181	15114	9799
182	15170	9699
183	15233	9603
184	15287	9503
185	15347	9406
186	15404	9308
187	15461	9211
188	15521	9115
189	15587	9024
190	15647	8929
191	15706	8835
192	15767	8741
193	15842	8656
194	15900	8561
195	15958	8467
196	16015	8373
197	16073	8280
198	16131	8187
199	16190	8095
200	16252	8005
201	16310	7913
202	16370	7822
203	16429	7731
204	16497	7645
205	16557	7555
206	16610	7462
207	16664	7370
208	16719	7279
209	16774	7189
210	16827	7097
211	16885	7008
212	16940	6919
213	17002	6832
214	17064	6746
215	17125	6659
216	17184	6572
217	17244	6486
218	17305	6400
219	17363	6313
220	17421	6227
221	17477	6140
222	17536	6055
223	17591	5968
224	17650	5883
225	17716	5800
226	17776	5716
227	17837	5632
228	17900	5549
229	17958	5465
230	18015	5381
231	18074	5297
232	18130	5213
233	18185	5129
234	18242	5045
235	18299	4962
236	18357	4879
237	18410	4795
238	18465	4712
239	18522	4630
240	18577	4547
241	18634	4466
242	18688	4383
243	18744	4302
244	18799	4220
245	18856	4139
246	18911	4058
247	18970	3977
248	19028	3897
249	19082	3816
250	19137	3735
251	19192	3655
252	19246	3575
253	19303	3495
254	19360	3416
255	19417	3337
256	19478	3259
257	19537	3180
258	19596	3102
259	19653	3023
260	19726	2947
261	19798	2871
262	19871	2795
263	19944	2719
264	20016	2643
265	20078	2566
266	20133	2488
267	20194	2411
268	20255	2334
269	20316	2257
270	20378	2180
271	20436	2103
272	20495	2027
273	20558	1950
274	20622	1874
275	20691	1799
276	20748	1722
277	20803	1646
278	20861	1570
279	20925	1494
280	20984	1418
281	21051	1343
282	21119	1268
283	21188	1193
284	21246	1118
285	21303	1042
286	21360	967
287	21416	892
288	21467	817
289	21526	742
290	21588	667
291	21652	593
292	21711	518
293	21770	444
294	21823	369
295	21881	295
296	21941	221
297	22004	147
298	22062	73
299	22126	0
