iter	Passed	Remaining
0	2	2570
1	4	2420
2	7	2615
3	10	2638
4	12	2585
5	23	3823
6	26	3724
7	28	3589
8	31	3472
9	34	3399
10	36	3325
11	39	3261
12	42	3210
13	44	3163
14	47	3144
15	50	3122
16	53	3099
17	56	3080
18	59	3052
19	61	3026
20	64	3008
21	67	2999
22	70	2982
23	72	2965
24	75	2955
25	78	2948
26	81	2932
27	83	2915
28	86	2898
29	89	2887
30	91	2868
31	94	2854
32	97	2853
33	100	2841
34	102	2831
35	105	2827
36	108	2811
37	110	2802
38	113	2800
39	116	2795
40	119	2788
41	121	2781
42	124	2772
43	127	2770
44	130	2767
45	133	2758
46	135	2749
47	138	2738
48	140	2732
49	143	2727
50	146	2719
51	148	2710
52	151	2705
53	153	2696
54	156	2696
55	160	2699
56	162	2690
57	165	2682
58	167	2679
59	171	2679
60	174	2679
61	176	2671
62	179	2665
63	181	2657
64	184	2654
65	187	2648
66	189	2644
67	192	2640
68	195	2632
69	197	2626
70	200	2628
71	203	2624
72	206	2620
73	209	2615
74	211	2608
75	214	2604
76	218	2613
77	221	2613
78	224	2612
79	227	2611
80	229	2607
81	232	2602
82	234	2596
83	237	2590
84	240	2588
85	242	2582
86	245	2580
87	248	2574
88	251	2569
89	254	2569
90	256	2565
91	259	2560
92	262	2558
93	265	2556
94	268	2555
95	270	2550
96	273	2545
97	276	2541
98	279	2540
99	281	2534
100	284	2531
101	286	2525
102	289	2520
103	292	2517
104	295	2514
105	297	2508
106	299	2503
107	302	2500
108	305	2496
109	308	2492
110	310	2489
111	313	2484
112	315	2479
113	318	2476
114	321	2473
115	323	2468
116	326	2464
117	329	2459
118	331	2454
119	334	2452
120	337	2451
121	339	2446
122	342	2442
123	345	2438
124	347	2433
125	350	2429
126	353	2427
127	355	2422
128	358	2420
129	361	2416
130	363	2412
131	366	2410
132	369	2409
133	372	2404
134	374	2401
135	377	2396
136	379	2392
137	383	2393
138	386	2391
139	389	2390
140	391	2387
141	394	2382
142	398	2391
143	401	2386
144	404	2382
145	406	2378
146	409	2374
147	412	2375
148	415	2373
149	418	2371
150	421	2369
151	424	2366
152	426	2363
153	429	2361
154	432	2358
155	435	2355
156	437	2351
157	441	2350
158	444	2348
159	446	2344
160	449	2340
161	452	2338
162	454	2334
163	457	2330
164	459	2327
165	462	2325
166	465	2324
167	468	2321
168	471	2317
169	473	2313
170	476	2311
171	479	2307
172	481	2303
173	484	2302
174	487	2298
175	490	2294
176	492	2291
177	495	2287
178	497	2283
179	500	2281
180	503	2278
181	506	2276
182	509	2275
183	512	2271
184	515	2269
185	517	2266
186	520	2263
187	523	2261
188	526	2259
189	529	2256
190	531	2253
191	534	2250
192	537	2246
193	540	2244
194	542	2240
195	545	2237
196	547	2233
197	550	2229
198	553	2226
199	555	2222
200	558	2221
201	561	2218
202	564	2214
203	566	2211
204	569	2208
205	572	2205
206	575	2203
207	577	2200
208	580	2197
209	583	2193
210	585	2190
211	588	2188
212	591	2184
213	594	2181
214	596	2178
215	599	2174
216	602	2172
217	605	2171
218	608	2168
219	611	2166
220	613	2162
221	616	2160
222	619	2158
223	622	2157
224	625	2155
225	628	2152
226	631	2149
227	634	2147
228	636	2144
229	639	2141
230	642	2138
231	644	2135
232	647	2131
233	650	2129
234	653	2128
235	664	2152
236	669	2155
237	676	2164
238	681	2170
239	685	2172
240	694	2186
241	702	2200
242	709	2209
243	715	2216
244	721	2224
245	727	2231
246	731	2229
247	734	2226
248	737	2223
249	740	2220
250	742	2216
251	745	2213
252	748	2209
253	754	2216
254	759	2220
255	765	2223
256	768	2223
257	771	2219
258	774	2216
259	777	2212
260	780	2209
261	782	2205
262	785	2201
263	788	2197
264	791	2194
265	793	2190
266	797	2188
267	800	2185
268	802	2181
269	805	2177
270	808	2173
271	811	2171
272	815	2170
273	818	2168
274	821	2165
275	823	2161
276	826	2156
277	828	2152
278	831	2148
279	833	2144
280	836	2140
281	839	2136
282	841	2133
283	844	2130
284	847	2127
285	850	2123
286	853	2119
287	855	2115
288	858	2111
289	861	2108
290	863	2104
291	866	2101
292	869	2097
293	872	2094
294	874	2090
295	877	2086
296	879	2082
297	882	2078
298	885	2074
299	888	2072
300	890	2068
301	893	2064
302	895	2060
303	898	2056
304	901	2053
305	903	2049
306	906	2046
307	909	2042
308	911	2039
309	914	2035
310	917	2032
311	919	2028
312	922	2024
313	925	2020
314	927	2017
315	930	2013
316	932	2010
317	935	2006
318	938	2003
319	941	2000
320	944	1997
321	946	1993
322	949	1989
323	951	1985
324	954	1982
325	957	1978
326	959	1975
327	962	1971
328	964	1967
329	967	1964
330	970	1960
331	972	1956
