iter	Logloss
0	0.671746521
1	0.6540672302
2	0.6333715439
3	0.616685791
4	0.5934132385
5	0.5765142822
6	0.5574370575
7	0.5386912155
8	0.5203479385
9	0.5057599258
10	0.4931554413
11	0.4806111145
12	0.4682913971
13	0.454226532
14	0.4392839813
15	0.4254714203
16	0.4134998703
17	0.4032309723
18	0.3942422867
19	0.3846157074
20	0.3727701187
21	0.3612519073
22	0.3504328537
23	0.343183403
24	0.3356153107
25	0.3290274048
26	0.3246284485
27	0.3186210823
28	0.3126398468
29	0.3059162521
30	0.2991186714
31	0.2926156044
32	0.2867007828
33	0.2819952202
34	0.2768954468
35	0.2704123306
36	0.2672354507
37	0.2625057983
38	0.2587281799
39	0.2548452568
40	0.2501303482
41	0.2456820488
42	0.2407700539
43	0.2381144524
44	0.2348240471
45	0.2301589966
46	0.2268063927
47	0.2233186531
48	0.2214358139
49	0.2184576607
50	0.2156680298
51	0.2130553436
52	0.2107773209
53	0.2082833481
54	0.2053397751
55	0.201819725
56	0.1996152496
57	0.1979575157
58	0.195782795
59	0.1937010956
60	0.1914723587
61	0.1893841553
62	0.1868048859
63	0.1850160217
64	0.183268795
65	0.1819411278
66	0.1801980782
67	0.1786275864
68	0.1769402313
69	0.1745658875
70	0.1723376083
71	0.1702311707
72	0.1685647202
73	0.1667250824
74	0.1653484726
75	0.1636516571
76	0.1616998291
77	0.1597239208
78	0.1586734676
79	0.1576801109
80	0.1564939308
81	0.1553436661
82	0.1545184231
83	0.1534718704
84	0.1523395443
85	0.1515730858
86	0.1505436039
87	0.1491945553
88	0.1479817295
89	0.1472976875
90	0.1461834621
91	0.1448528481
92	0.1439784718
93	0.1430097485
94	0.1419814682
95	0.1409898567
96	0.1400593376
97	0.1394087505
98	0.1386550903
99	0.1378645325
100	0.1371125603
101	0.1365894413
102	0.1357012272
103	0.1350915146
104	0.134543705
105	0.1337005711
106	0.1331216621
107	0.1326837635
108	0.1320934391
109	0.131456871
110	0.1307991409
111	0.1300716782
112	0.1292014313
113	0.1286540413
114	0.1281440449
115	0.1275461292
116	0.1267548084
117	0.1263651276
118	0.1257796288
119	0.1253654099
120	0.1249621201
121	0.1244996452
122	0.1241867065
123	0.1236937141
124	0.1234182644
125	0.1229939651
126	0.1226199341
127	0.1224082661
128	0.1219459343
129	0.1214466095
130	0.1211144447
131	0.1206460285
132	0.120414257
133	0.1200976753
134	0.1194297409
135	0.1189094639
136	0.1186193752
137	0.1181470776
138	0.1180077744
139	0.1176923656
140	0.1174937916
141	0.1171581173
142	0.1169609261
143	0.1166661739
144	0.1163801289
145	0.1162160778
146	0.1158591843
147	0.1157083797
148	0.1154598904
149	0.1151366425
150	0.1150002861
151	0.1147529507
152	0.1144834042
153	0.1143468666
154	0.1141571999
155	0.1137943649
156	0.1133029175
157	0.1129461288
158	0.112737484
159	0.1125471115
160	0.1122564602
161	0.1119329071
162	0.1117753696
163	0.1115044308
164	0.1111917686
165	0.1108582306
166	0.1107578087
167	0.1104832935
168	0.1101812458
169	0.109991703
170	0.1097705841
171	0.109673233
172	0.109492569
173	0.1092843628
174	0.1090295219
175	0.1089262199
176	0.1088488483
177	0.1084794998
178	0.1083417797
179	0.1081811523
180	0.1080866146
181	0.1078992653
182	0.1078134632
183	0.1076494217
184	0.1073772621
185	0.107171669
186	0.1070577431
187	0.1069522476
188	0.1067578602
189	0.1066138458
190	0.1064341736
191	0.1061909771
192	0.1060739326
193	0.1058689213
194	0.1057098675
195	0.1056048393
196	0.1053901482
197	0.1051709175
198	0.1049632645
199	0.1047395802
200	0.1045739746
201	0.1044329643
202	0.1043706512
203	0.1041053867
204	0.1039752674
205	0.103829422
206	0.1036481285
207	0.1035182953
208	0.1034544086
209	0.1032432365
210	0.1031488228
211	0.1029227257
212	0.1027386761
213	0.1025505161
214	0.1023856068
215	0.102257328
216	0.1021903419
217	0.1019497585
218	0.1018436623
219	0.1016345692
220	0.1015141487
221	0.1014172459
222	0.1012017632
223	0.1010943222
224	0.1009442043
225	0.1007930374
226	0.1005913162
227	0.1005224609
228	0.100440588
229	0.1002864075
230	0.1002340508
231	0.100132761
232	0.09999427795
233	0.09990718842
234	0.09982489586
235	0.09971564293
236	0.09965590477
237	0.09946098328
238	0.09930394173
239	0.09923977852
240	0.09905742645
241	0.09896734238
242	0.09887452126
243	0.0988107872
244	0.09872497559
245	0.09853752136
246	0.09849971771
247	0.0983996582
248	0.09832273483
249	0.09828559875
250	0.09821626663
251	0.09816324234
252	0.09809696198
253	0.09803096771
254	0.0979993248
255	0.09793224335
256	0.09782361984
257	0.09768311501
258	0.09755939484
259	0.09747372627
260	0.09730075836
261	0.09720338821
262	0.09709833145
