iter	Passed	Remaining
416	2393	3346
417	2398	3339
418	2403	3332
419	2407	3324
420	2412	3318
421	2419	3314
422	2425	3308
423	2435	3308
424	2442	3303
425	2448	3299
426	2453	3292
427	2459	3286
428	2464	3279
429	2469	3273
430	2473	3265
431	2478	3258
432	2483	3251
433	2487	3243
434	2492	3237
435	2496	3229
436	2500	3222
437	2505	3214
438	2509	3206
439	2513	3199
440	2518	3191
441	2523	3185
442	2528	3179
443	2533	3172
444	2537	3164
445	2542	3158
446	2548	3152
447	2552	3145
448	2560	3141
449	2565	3135
450	2570	3128
451	2575	3122
452	2579	3114
453	2583	3106
454	2590	3103
455	2595	3095
456	2599	3088
457	2604	3082
458	2609	3075
459	2613	3067
460	2617	3060
461	2622	3054
462	2626	3046
463	2631	3040
464	2636	3033
465	2640	3025
466	2644	3018
467	2650	3012
468	2655	3006
469	2660	3000
470	2667	2995
471	2672	2989
472	2677	2982
473	2681	2975
474	2688	2971
475	2693	2964
476	2697	2957
477	2701	2950
478	2705	2942
479	2710	2936
480	2714	2929
481	2721	2924
482	2727	2919
483	2731	2912
484	2736	2905
485	2740	2898
486	2744	2891
487	2750	2885
488	2755	2879
489	2760	2872
490	2764	2865
491	2768	2858
492	2774	2852
493	2778	2845
494	2784	2841
495	2789	2834
496	2794	2828
497	2798	2820
498	2802	2814
499	2807	2807
500	2811	2800
501	2817	2795
502	2823	2789
503	2827	2782
504	2833	2777
505	2837	2770
506	2841	2763
507	2851	2761
508	2855	2754
509	2859	2747
510	2865	2742
511	2870	2736
512	2875	2729
513	2882	2725
514	2888	2719
515	2892	2712
516	2897	2706
517	2901	2699
518	2905	2693
519	2910	2687
520	2915	2680
521	2920	2674
522	2925	2667
523	2929	2661
524	2935	2655
525	2940	2649
526	2948	2646
527	2953	2640
528	2958	2633
529	2962	2627
530	2967	2620
531	2971	2614
532	2979	2610
533	2985	2605
534	2989	2598
535	2995	2592
536	2999	2586
537	3003	2579
538	3007	2572
539	3012	2565
540	3016	2559
541	3020	2552
542	3025	2546
543	3029	2539
544	3033	2532
545	3037	2525
546	3043	2520
547	3047	2513
548	3051	2506
549	3054	2499
550	3061	2494
551	3065	2487
552	3069	2481
553	3073	2474
554	3078	2468
555	3083	2461
556	3087	2455
557	3094	2451
558	3099	2445
559	3104	2439
560	3110	2434
561	3115	2428
562	3119	2421
563	3125	2415
564	3129	2409
565	3134	2403
566	3138	2397
567	3143	2390
568	3147	2384
569	3152	2377
570	3157	2372
571	3162	2366
572	3167	2360
573	3172	2354
574	3177	2348
